REF_DATE,Canada,num
Jan-97,1146254,1
Feb-97,1153493,2
Mar-97,1153375,3
Apr-97,1161196,4
May-97,1165328,5
Jun-97,1167533,6
Jul-97,1180084,7
Aug-97,1181545,8
Sep-97,1183552,9
Oct-97,1188123,10
Nov-97,1189010,11
Dec-97,1199780,12
Jan-98,1194652,13
Feb-98,1206119,14
Mar-98,1210426,15
Apr-98,1211089,16
May-98,1208910,17
Jun-98,1208629,18
Jul-98,1208265,19
Aug-98,1219916,20
Sep-98,1223880,21
Oct-98,1229462,22
Nov-98,1232739,23
Dec-98,1244188,24
Jan-99,1248407,25
Feb-99,1254446,26
Mar-99,1254755,27
Apr-99,1263262,28
May-99,1265346,29
Jun-99,1274003,30
Jul-99,1280993,31
Aug-99,1287461,32
Sep-99,1295922,33
Oct-99,1299607,34
Nov-99,1310326,35
Dec-99,1318934,36
Jan-00,1325658,37
Feb-00,1325888,38
Mar-00,1336931,39
Apr-00,1335504,40
May-00,1343064,41
Jun-00,1348065,42
Jul-00,1351075,43
Aug-00,1356048,44
Sep-00,1358502,45
Oct-00,1361067,46
Nov-00,1362013,47
Dec-00,1365443,48
1-Jan,1365514,49
1-Feb,1365069,50
1-Mar,1365858,51
1-Apr,1364619,52
1-May,1370407,53
1-Jun,1369240,54
1-Jul,1367204,55
1-Aug,1371749,56
1-Sep,1364366,57
1-Oct,1370585,58
1-Nov,1379396,59
1-Dec,1377902,60
2-Jan,1392802,61
2-Feb,1400429,62
2-Mar,1399019,63
2-Apr,1408942,64
2-May,1411041,65
2-Jun,1412654,66
2-Jul,1418178,67
2-Aug,1423503,68
2-Sep,1420254,69
2-Oct,1428810,70
2-Nov,1428139,71
2-Dec,1423817,72
3-Jan,1431160,73
3-Feb,1434888,74
3-Mar,1433364,75
3-Apr,1428575,76
3-May,1432670,77
3-Jun,1436792,78
3-Jul,1444125,79
3-Aug,1430151,80
3-Sep,1447621,81
3-Oct,1453840,82
3-Nov,1455337,83
3-Dec,1461488,84
4-Jan,1464152,85
4-Feb,1463305,86
4-Mar,1476416,87
4-Apr,1480256,88
4-May,1481764,89
4-Jun,1489057,90
4-Jul,1490489,91
4-Aug,1496855,92
4-Sep,1501096,93
4-Oct,1501618,94
4-Nov,1507285,95
4-Dec,1507620,96
5-Jan,1514960,97
5-Feb,1516009,98
5-Mar,1510876,99
5-Apr,1522079,100
5-May,1528603,101
5-Jun,1533199,102
5-Jul,1537159,103
5-Aug,1542983,104
5-Sep,1544269,105
5-Oct,1549474,106
5-Nov,1557964,107
5-Dec,1566198,108
6-Jan,1570036,109
6-Feb,1573552,110
6-Mar,1577153,111
6-Apr,1577442,112
6-May,1578059,113
6-Jun,1575416,114
6-Jul,1578273,115
6-Aug,1579408,116
6-Sep,1577137,117
6-Oct,1579661,118
6-Nov,1583186,119
6-Dec,1593220,120
7-Jan,1589916,121
7-Feb,1597824,122
7-Mar,1601283,123
7-Apr,1603425,124
7-May,1610464,125
7-Jun,1615014,126
7-Jul,1614681,127
7-Aug,1619358,128
7-Sep,1616522,129
7-Oct,1617956,130
7-Nov,1619351,131
7-Dec,1613074,132
8-Jan,1619678,133
8-Feb,1616737,134
8-Mar,1619632,135
8-Apr,1623011,136
8-May,1622950,137
8-Jun,1626157,138
8-Jul,1633235,139
8-Aug,1631956,140
8-Sep,1632320,141
8-Oct,1630551,142
8-Nov,1614127,143
8-Dec,1591987,144
9-Jan,1584341,145
9-Feb,1576119,146
9-Mar,1563343,147
9-Apr,1558296,148
9-May,1556689,149
9-Jun,1558532,150
9-Jul,1561083,151
9-Aug,1560446,152
9-Sep,1572192,153
9-Oct,1573879,154
9-Nov,1583102,155
9-Dec,1587706,156
10-Jan,1597519,157
10-Feb,1605865,158
10-Mar,1613597,159
10-Apr,1611635,160
10-May,1618686,161
10-Jun,1622883,162
10-Jul,1625143,163
10-Aug,1630031,164
10-Sep,1629843,165
10-Oct,1638232,166
10-Nov,1645952,167
10-Dec,1657377,168
11-Jan,1662768,169
11-Feb,1659773,170
11-Mar,1664906,171
11-Apr,1665169,172
11-May,1661580,173
11-Jun,1668949,174
11-Jul,1680498,175
11-Aug,1689080,176
11-Sep,1693895,177
11-Oct,1693809,178
11-Nov,1695694,179
11-Dec,1703826,180
12-Jan,1702312,181
12-Feb,1697912,182
12-Mar,1702210,183
12-Apr,1708110,184
12-May,1710842,185
12-Jun,1711716,186
12-Jul,1715089,187
12-Aug,1712835,188
12-Sep,1712611,189
12-Oct,1711824,190
12-Nov,1719965,191
12-Dec,1719763,192
13-Jan,1729586,193
13-Feb,1734805,194
13-Mar,1740839,195
13-Apr,1743937,196
13-May,1748724,197
13-Jun,1742396,198
13-Jul,1752447,199
13-Aug,1760130,200
13-Sep,1766098,201
13-Oct,1775606,202
13-Nov,1779954,203
13-Dec,1772541,204
14-Jan,1773250,205
14-Feb,1782226,206
14-Mar,1787024,207
14-Apr,1790684,208
14-May,1802034,209
14-Jun,1810319,210
14-Jul,1812914,211
14-Aug,1809135,212
14-Sep,1816399,213
14-Oct,1821619,214
14-Nov,1822817,215
14-Dec,1825584,216
15-Jan,1817974,217
15-Feb,1815506,218
15-Mar,1814460,219
15-Apr,1813921,220
15-May,1812920,221
15-Jun,1817855,222
15-Jul,1822436,223
15-Aug,1826294,224
15-Sep,1818765,225
15-Oct,1820488,226
15-Nov,1824776,227
15-Dec,1826829,228
16-Jan,1837860,229
16-Feb,1832584,230
16-Mar,1825855,231
16-Apr,1830002,232
16-May,1819666,233
16-Jun,1828411,234
16-Jul,1839206,235
16-Aug,1843452,236
16-Sep,1848118,237
16-Oct,1847038,238
16-Nov,1853836,239
16-Dec,1858876,240
17-Jan,1868964,241
17-Feb,1873773,242
17-Mar,1881584,243
17-Apr,1888758,244
17-May,1896042,245
17-Jun,1899612,246
17-Jul,1900773,247
17-Aug,1899358,248
17-Sep,1902497,249
17-Oct,1905137,250
17-Nov,1913640,251
17-Dec,1920686,252
18-Jan,1919623,253
18-Feb,1927189,254
18-Mar,1932480,255
18-Apr,1932577,256
18-May,1944258,257
18-Jun,1946207,258
18-Jul,1952354,259
18-Aug,1954079,260
18-Sep,1955253,261
18-Oct,1961308,262
18-Nov,1957862,263
18-Dec,1956990,264
19-Jan,1958988,265
19-Feb,1954720,266
19-Mar,1967722,267
19-Apr,1976034,268
19-May,1981882,269
19-Jun,1986301,270
19-Jul,1986641,271
19-Aug,1985761,272
19-Sep,1987927,273
19-Oct,1989460,274
19-Nov,1990238,275
19-Dec,1995370,276
20-Jan,1996237,277
20-Feb,2002521,278
20-Mar,1859862,279
20-Apr,1646980,280
20-May,1720874,281
20-Jun,1826824,282
20-Jul,1872590,283
20-Aug,1889480,284
20-Sep,1904171,285
20-Oct,1919397,286
20-Nov,1934370,287
20-Dec,1936243,288
