entertainment,num
12175.00 ,1
11952.00 ,2
12112.00 ,3
11878.00 ,4
12227.00 ,5
12833.00 ,6
12551.00 ,7
12315.00 ,8
12578.00 ,9
12397.00 ,10
12293.00 ,11
12540.00 ,12
12383.00 ,13
11767.00 ,14
12569.00 ,15
12434.00 ,16
13045.00 ,17
12717.00 ,18
12638.00 ,19
12786.00 ,20
12491.00 ,21
12296.00 ,22
12322.00 ,23
12301.00 ,24
12323.00 ,25
12629.00 ,26
12550.00 ,27
12994.00 ,28
12699.00 ,29
12733.00 ,30
12760.00 ,31
12691.00 ,32
12721.00 ,33
13022.00 ,34
12805.00 ,35
12965.00 ,36
12972.00 ,37
13078.00 ,38
13072.00 ,39
13089.00 ,40
12850.00 ,41
12952.00 ,42
13077.00 ,43
13106.00 ,44
13321.00 ,45
13266.00 ,46
13267.00 ,47
13379.00 ,48
13532.00 ,49
13594.00 ,50
13471.00 ,51
13161.00 ,52
13354.00 ,53
13472.00 ,54
13491.00 ,55
13562.00 ,56
13572.00 ,57
13778.00 ,58
13940.00 ,59
13972.00 ,60
13958.00 ,61
13734.00 ,62
13886.00 ,63
14136.00 ,64
14330.00 ,65
13733.00 ,66
13729.00 ,67
13958.00 ,68
13743.00 ,69
13759.00 ,70
13891.00 ,71
13680.00 ,72
13689.00 ,73
13488.00 ,74
13536.00 ,75
13408.00 ,76
13437.00 ,77
13814.00 ,78
13474.00 ,79
13195.00 ,80
13258.00 ,81
13591.00 ,82
13689.00 ,83
13614.00 ,84
13748.00 ,85
13890.00 ,86
13906.00 ,87
14074.00 ,88
14130.00 ,89
13769.00 ,90
14202.00 ,91
14651.00 ,92
13765.00 ,93
13324.00 ,94
13138.00 ,95
12858.00 ,96
13006.00 ,97
12923.00 ,98
12722.00 ,99
12974.00 ,100
12968.00 ,101
13414.00 ,102
13569.00 ,103
13597.00 ,104
13384.00 ,105
13587.00 ,106
13463.00 ,107
13488.00 ,108
13217.00 ,109
13026.00 ,110
13393.00 ,111
13719.00 ,112
13402.00 ,113
13424.00 ,114
13062.00 ,115
13116.00 ,116
13118.00 ,117
13135.00 ,118
13303.00 ,119
13326.00 ,120
13285.00 ,121
13201.00 ,122
13265.00 ,123
13180.00 ,124
13148.00 ,125
13497.00 ,126
13497.00 ,127
13461.00 ,128
13687.00 ,129
13601.00 ,130
13535.00 ,131
13202.00 ,132
13386.00 ,133
13259.00 ,134
13209.00 ,135
13388.00 ,136
13603.00 ,137
13436.00 ,138
13500.00 ,139
13528.00 ,140
13472.00 ,141
13557.00 ,142
13529.00 ,143
13532.00 ,144
13658.00 ,145
13622.00 ,146
13574.00 ,147
13745.00 ,148
13463.00 ,149
13265.00 ,150
13265.00 ,151
13201.00 ,152
13273.00 ,153
13134.00 ,154
13186.00 ,155
13139.00 ,156
13082.00 ,157
13860.00 ,158
13052.00 ,159
12788.00 ,160
12801.00 ,161
12931.00 ,162
12894.00 ,163
12954.00 ,164
12821.00 ,165
12769.00 ,166
12785.00 ,167
12724.00 ,168
12795.00 ,169
12858.00 ,170
12577.00 ,171
12674.00 ,172
12706.00 ,173
13076.00 ,174
12951.00 ,175
12767.00 ,176
13075.00 ,177
13208.00 ,178
13209.00 ,179
13252.00 ,180
13594.00 ,181
13311.00 ,182
13435.00 ,183
13180.00 ,184
12919.00 ,185
13239.00 ,186
13299.00 ,187
13224.00 ,188
12502.00 ,189
12307.00 ,190
12197.00 ,191
11965.00 ,192
12695.00 ,193
12584.00 ,194
12718.00 ,195
13013.00 ,196
12913.00 ,197
12726.00 ,198
12892.00 ,199
13036.00 ,200
13228.00 ,201
13299.00 ,202
13377.00 ,203
13555.00 ,204
13505.00 ,205
12969.00 ,206
13698.00 ,207
13827.00 ,208
13899.00 ,209
13853.00 ,210
13804.00 ,211
13819.00 ,212
13697.00 ,213
13586.00 ,214
13796.00 ,215
13671.00 ,216
13731.00 ,217
13629.00 ,218
13632.00 ,219
13720.00 ,220
13558.00 ,221
14269.00 ,222
14211.00 ,223
14026.00 ,224
13959.00 ,225
14160.00 ,226
14022.00 ,227
14219.00 ,228
14231.00 ,229
14228.00 ,230
14272.00 ,231
13986.00 ,232
14269.00 ,233
14276.00 ,234
14385.00 ,235
14409.00 ,236
14554.00 ,237
14402.00 ,238
14398.00 ,239
14454.00 ,240
14845.00 ,241
14626.00 ,242
14840.00 ,243
15433.00 ,244
15006.00 ,245
15000.00 ,246
15032.00 ,247
15208.00 ,248
15146.00 ,249
15121.00 ,250
15181.00 ,251
15234.00 ,252
15273.00 ,253
15393.00 ,254
15287.00 ,255
15264.00 ,256
15431.00 ,257
15385.00 ,258
15167.00 ,259
15067.00 ,260
15274.00 ,261
15355.00 ,262
15509.00 ,263
15699.00 ,264
15618.00 ,265
15642.00 ,266
15781.00 ,267
15679.00 ,268
15683.00 ,269
15742.00 ,270
15692.00 ,271
15629.00 ,272
15687.00 ,273
15752.00 ,274
15813.00 ,275
16018.00 ,276
16200.00 ,277
16219.00 ,278
10703.00 ,279
6928.00 ,280
6406.00 ,281
6659.00 ,282
7320.00 ,283
8018.00 ,284
8104.00 ,285
8304.00 ,286
8169.00 ,287
8000.00 ,288
