manufacturing,num
165474.00 ,1
167389.00 ,2
165776.00 ,3
168419.00 ,4
169988.00 ,5
168758.00 ,6
173068.00 ,7
172304.00 ,8
172611.00 ,9
174629.00 ,10
173808.00 ,11
175503.00 ,12
175033.00 ,13
177719.00 ,14
179066.00 ,15
179445.00 ,16
178478.00 ,17
177227.00 ,18
173750.00 ,19
178001.00 ,20
180977.00 ,21
182740.00 ,22
182638.00 ,23
186008.00 ,24
186474.00 ,25
187360.00 ,26
187040.00 ,27
189395.00 ,28
188754.00 ,29
192523.00 ,30
193499.00 ,31
196374.00 ,32
198014.00 ,33
196961.00 ,34
200956.00 ,35
205465.00 ,36
205028.00 ,37
204065.00 ,38
209046.00 ,39
207295.00 ,40
210789.00 ,41
211805.00 ,42
212368.00 ,43
214525.00 ,44
214616.00 ,45
215218.00 ,46
215139.00 ,47
213402.00 ,48
209537.00 ,49
207889.00 ,50
206175.00 ,51
205462.00 ,52
206514.00 ,53
205136.00 ,54
202592.00 ,55
202338.00 ,56
198925.00 ,57
199696.00 ,58
200567.00 ,59
196112.00 ,60
204981.00 ,61
207795.00 ,62
205584.00 ,63
208336.00 ,64
210332.00 ,65
208068.00 ,66
209618.00 ,67
210018.00 ,68
205768.00 ,69
207012.00 ,70
205766.00 ,71
202478.00 ,72
203266.00 ,73
203258.00 ,74
203751.00 ,75
202759.00 ,76
203465.00 ,77
201684.00 ,78
204127.00 ,79
200104.00 ,80
205664.00 ,81
208446.00 ,82
208569.00 ,83
208764.00 ,84
205755.00 ,85
205892.00 ,86
210131.00 ,87
208793.00 ,88
206949.00 ,89
210537.00 ,90
209302.00 ,91
209976.00 ,92
212319.00 ,93
211051.00 ,94
210903.00 ,95
211880.00 ,96
214316.00 ,97
213436.00 ,98
211995.00 ,99
213478.00 ,100
213989.00 ,101
213127.00 ,102
212935.00 ,103
214101.00 ,104
213349.00 ,105
213462.00 ,106
214023.00 ,107
215744.00 ,108
218222.00 ,109
216451.00 ,110
215763.00 ,111
213102.00 ,112
210260.00 ,113
209536.00 ,114
209560.00 ,115
208662.00 ,116
205350.00 ,117
204012.00 ,118
204094.00 ,119
207577.00 ,120
205344.00 ,121
206427.00 ,122
206309.00 ,123
206881.00 ,124
205141.00 ,125
205646.00 ,126
203696.00 ,127
203104.00 ,128
202600.00 ,129
202509.00 ,130
202141.00 ,131
196772.00 ,132
196215.00 ,133
196824.00 ,134
193480.00 ,135
196153.00 ,136
197185.00 ,137
195970.00 ,138
196741.00 ,139
193416.00 ,140
193253.00 ,141
190432.00 ,142
187226.00 ,143
178949.00 ,144
172558.00 ,145
170725.00 ,146
168195.00 ,147
165576.00 ,148
163496.00 ,149
162048.00 ,150
163408.00 ,151
164107.00 ,152
166067.00 ,153
165293.00 ,154
167905.00 ,155
167119.00 ,156
168851.00 ,157
171080.00 ,158
173755.00 ,159
173535.00 ,160
174400.00 ,161
176689.00 ,162
176632.00 ,163
176502.00 ,164
175308.00 ,165
175096.00 ,166
174129.00 ,167
176929.00 ,168
178617.00 ,169
177148.00 ,170
178400.00 ,171
178432.00 ,172
177433.00 ,173
178079.00 ,174
180771.00 ,175
180439.00 ,176
182532.00 ,177
182875.00 ,178
183818.00 ,179
186974.00 ,180
186133.00 ,181
182802.00 ,182
183681.00 ,183
184979.00 ,184
184490.00 ,185
184541.00 ,186
184533.00 ,187
183573.00 ,188
181580.00 ,189
179912.00 ,190
181464.00 ,191
179392.00 ,192
181103.00 ,193
181675.00 ,194
182490.00 ,195
181254.00 ,196
181320.00 ,197
181182.00 ,198
180812.00 ,199
181814.00 ,200
184168.00 ,201
186463.00 ,202
185805.00 ,203
181798.00 ,204
182671.00 ,205
185479.00 ,206
184058.00 ,207
184774.00 ,208
187843.00 ,209
189457.00 ,210
190997.00 ,211
188668.00 ,212
189933.00 ,213
190192.00 ,214
188612.00 ,215
192283.00 ,216
190061.00 ,217
187983.00 ,218
189846.00 ,219
189441.00 ,220
189170.00 ,221
187252.00 ,222
187659.00 ,223
191195.00 ,224
188907.00 ,225
188461.00 ,226
188674.00 ,227
189099.00 ,228
191380.00 ,229
189452.00 ,230
188450.00 ,231
189273.00 ,232
186494.00 ,233
188721.00 ,234
189012.00 ,235
189035.00 ,236
189248.00 ,237
186934.00 ,238
189296.00 ,239
190249.00 ,240
191055.00 ,241
189989.00 ,242
191388.00 ,243
192222.00 ,244
193640.00 ,245
193882.00 ,246
193199.00 ,247
191194.00 ,248
191049.00 ,249
192745.00 ,250
195609.00 ,251
195672.00 ,252
196495.00 ,253
196890.00 ,254
198060.00 ,255
197810.00 ,256
196833.00 ,257
200055.00 ,258
199757.00 ,259
198500.00 ,260
199487.00 ,261
199780.00 ,262
198364.00 ,263
197437.00 ,264
199090.00 ,265
198200.00 ,266
200520.00 ,267
198510.00 ,268
200754.00 ,269
198632.00 ,270
196745.00 ,271
197314.00 ,272
196921.00 ,273
195927.00 ,274
195938.00 ,275
195313.00 ,276
192884.00 ,277
194243.00 ,278
179664.00 ,279
140813.00 ,280
153004.00 ,281
174430.00 ,282
182325.00 ,283
184467.00 ,284
185850.00 ,285
185521.00 ,286
188342.00 ,287
186322.00 ,288
